Num,Q,A
11,컴퓨터를 어느정도 다뤄야 지원할 수 있나요? 비전공자도 가능한가요?,"한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과에 관심을 가져주셔서 감사합니다. 우리 학과에서는 기초적인 내용부터 교육을 시작하기 때문에, 기초가 부족하더라도 수업이 가능합니다. 만약, 프로그래밍에 대한 경험이 있다면 도움이 될수 있습니다."
12,인공지능소프트웨어과 비전공자도 쉽게 배울수 있나요?,"한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과에 관심을 가져주셔서 감사합니다. 우리 학과에서는 기초적인 내용부터 교육을 시작하기 때문에, 기초가 부족하더라도 수업이 가능합니다. 만약, 프로그래밍에 대한 경험이 있다면 도움이 될수 있습니다."
13,중복지원 가능한가요?,"한국폴리텍대학 서울정수캠퍼스는 한국폴리텍1대학으로써 서울정수, 서울강서, 성남, 제주 캠퍼스는 중복지원이 안됩니다."
14,야간 수업이 있나요?,한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과는 야간과정을 운영하고 있지 않습니다.
15,인공지능소프트웨어과는 어떤 것을 배우나요?,"한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과는 응용소프트웨어와 웹·앱 개발에 필요한 파이썬, 자바계열, C/C++ 과 같은 주요 프로그래밍 언어를 효과적으로 활용하는 능력과 자료구조와 알고리즘 등의 기초 이론, 인공지능을 이해하고 활용하기 위한 지식을 기반으로 인공지능·웹 응용소프트웨어 인력을 양성하는 학과입니다."
16,어떤 자격증을 얻나요?,"자격증 취득을 위한 커리큘럼은 없으나 과정에서 배우는 내용을 바탕으로 정보처리산업기사, 정보처리기사, SQL개발자, Tensorflow Developer Certificate, 데이터분석준전문가(ADsP), 빅데이터분석 등의 자격증을 취득할 수 있습니다."
17,어디로 취업이 되나요?,"한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과 졸업 및 수료생은 웹프그래밍계열 회사, 인공지능 및 RPA관련 회사, 소프트웨어관련 회사에 취업하고 있습니다."
18,나이 제한이 있나요?,2년제 학위과정은 나이제한이 없으나 하이테크과정은 만39세 이하 지원 가능합니다.
19,현재 직장인인데 입학 가능한가요?,2년제 학위과정은 제한이 없으나 하이테크과정은 재직중에는 입학할 수 없습니다. 다만 입학전 퇴직을 하시면 입학 가능합니다.
20,하이테크과정 지원시 재직중이어도 지원이 가능한가요?,하이테크과정 지원시 재직중에 지원이 가능하지만 입학 전에는 퇴직을 하셔야 합니다.
21,직장인을 위한 야간과정이 있나요?,한국폴리텍대학 서울정수캠퍼스 인공지능소프트웨어과는 야간과정을 운영하고 있지 않습니다.
22,대학교 졸업한지 한참 됐는데 입학이 가능한가요?,"네 가능합니다. 2년제학위과정에서는 고등학교 성적이 반영되며, 하이테크과정에서는 반영성적이 없으며 지원자격만 충족되면 입학 가능합니다. 자세한 사항은 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다."
23,타 대학 졸업생인데 지원 가능한가요?,"네 가능합니다. 2년제학위과정에서는 고등학교 성적이 반영되며, 하이테크과정에서는 반영성적이 없으며 지원자격만 충족되면 입학 가능합니다. 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다."
24,타 대학 중퇴했는데 지원 가능한가요?,"네 가능합니다. 2년제학위과정에서는 고등학교 성적이 반영되며, 하이테크과정에서는 반영성적이 없으며 지원자격만 충족되면 입학 가능합니다. 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다."
25,해외 고등학교 졸업후 지원 가능한가요?,"네 가능합니다. 2년제학위과정에서는 고등학교 성적이 반영되며, 하이테크과정에서는 반영성적이 없으며 지원자격만 충족되면 입학 가능합니다. 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다."
26,입학하기에 요구하는 능력이 있나요?,"인공지능, 소프트웨어 지식과 코딩 능력이 있으시면 유리 하실 수 있습니다. 하지만 특정한 사전 요구사항이 있지는 않습니다"
27,검정고시 합격했는데 지원이 가능한가요?,"네 가능합니다. 2년제학위과정에서는 고등학교 성적이 반영되며, 하이테크과정에서는 반영성적이 없으며 지원자격만 충족되면 입학 가능합니다. 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다."
28,학교 성적이나 수능 성적은 필요 없나요?,"2년제 학위과정의 경우 전형별 학생부성적이나 검정고시 성적 또는 전문대학 이상의 성적, 수능성적이 필요할 수 있습니다. 자세한 사항은 https://www.kopo.ac.kr/jungsu/content.do?menu=221 또는 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다. 하이테크과정의 경우 성적이 필요없습니다."
29,지원시 제출해야할 서류에 대해 알려주세요.,2년제 학위과정의 경우 자세한 사항은 https://www.kopo.ac.kr/jungsu/content.do?menu=221 또는 02-2001-4115(입학담당자)를 통해 정보를 얻을 수 있습니다. 하이테크과정의 경우 
30,"하이테크과정은 학비나 등록절차, 과정운영이 어떻게 되나요?","하이테크는 초대졸 이상의 학력자 및 미취업자(고용보험미가입자)가 입학하실수있습니다. 비학위과정은 학비가 없고, 출석일수에 따라 교통비와 식대를 제공하고 있습니다."
31,만 40세인데 하이테크 과정 지원이 되나요?,하이테크과정은 만39세 이하만 지원이 가능합니다.
32,입학일이 언제인가요?,매년 3월 2일 개강 및 입학입니다.
33,현재 경쟁률은 몇인가요?,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio50410441.html  에서 확인할 수 있습니다.
34,지난 수시1차 경쟁률은 몇인가요?,2026년 수시1차 경쟁률은 3.33:1 입니다.
35,학교생활이나 상담이 받고 싶은데 어디로 연락해야하나요?,02-2001-4134 또는 https://www.kopo.ac.kr/jungsu/content.do?menu=12491 에 상담받고 싶은 교수님께 직접 연락도 가능합니다.
